レベル,都道府県名,市区町村名,大字・丁目名,小字・通称名,街区符号・地番,離島ID,行政区域コード,支庁・振興局名,郡・政令都市名,原典市区町村名,指定地域名,島名,住所
街区,長崎県,佐世保市,宇久町飯良,,1154,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良１１５４
街区,長崎県,佐世保市,宇久町飯良,,1413,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良１４１３
街区,長崎県,佐世保市,宇久町飯良,,891,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良８９１
街区,長崎県,佐世保市,宇久町飯良,,842,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良８４２
街区,長崎県,佐世保市,宇久町飯良,,1255,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良１２５５
街区,長崎県,佐世保市,宇久町飯良,,1275,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良１２７５
街区,長崎県,佐世保市,宇久町飯良,,2605,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良２６０５
街区,長崎県,佐世保市,宇久町飯良,,2606,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良２６０６
街区,長崎県,佐世保市,宇久町飯良,,2634,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良２６３４
街区,長崎県,佐世保市,宇久町飯良,,2656,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良２６５６
街区,長崎県,佐世保市,宇久町飯良,,2617,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良２６１７
街区,長崎県,佐世保市,宇久町飯良,,2621,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良２６２１
街区,長崎県,佐世保市,宇久町神浦,,3396,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３３９６
街区,長崎県,佐世保市,宇久町神浦,,3696,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３６９６
街区,長崎県,佐世保市,宇久町飯良,,2603,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良２６０３
街区,長崎県,佐世保市,宇久町神浦,,3265,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３２６５
街区,長崎県,佐世保市,宇久町神浦,,3266,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３２６６
街区,長崎県,佐世保市,宇久町神浦,,3267,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３２６７
街区,長崎県,佐世保市,宇久町神浦,,3271,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３２７１
街区,長崎県,佐世保市,宇久町神浦,,3276,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３２７６
街区,長崎県,佐世保市,宇久町神浦,,3279,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３２７９
街区,長崎県,佐世保市,宇久町神浦,,3294,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３２９４
街区,長崎県,佐世保市,宇久町神浦,,3295,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３２９５
街区,長崎県,佐世保市,宇久町神浦,,3339,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３３３９
街区,長崎県,佐世保市,宇久町神浦,,3341,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３３４１
街区,長崎県,佐世保市,宇久町神浦,,3345,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３３４５
街区,長崎県,佐世保市,宇久町飯良,,2638,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良２６３８
街区,長崎県,佐世保市,宇久町飯良,,2593,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良２５９３
街区,長崎県,佐世保市,宇久町飯良,,2594,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良２５９４
街区,長崎県,佐世保市,宇久町飯良,,2598,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良２５９８
街区,長崎県,佐世保市,宇久町飯良,,2577,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良２５７７
街区,長崎県,佐世保市,宇久町神浦,,3260,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３２６０
街区,長崎県,佐世保市,宇久町神浦,,3261,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３２６１
街区,長崎県,佐世保市,宇久町飯良,,2440,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良２４４０
街区,長崎県,佐世保市,宇久町神浦,,3140,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３１４０
街区,長崎県,佐世保市,宇久町飯良,,2480,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良２４８０
街区,長崎県,佐世保市,宇久町神浦,,3308,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３３０８
街区,長崎県,佐世保市,宇久町神浦,,3328,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３３２８
街区,長崎県,佐世保市,宇久町神浦,,3330,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３３３０
